locode,name,country_code,function,lat,lon,status
AEABU,Abu al Bukhoosh,AE,1-------,25.4833,53.1333,RL
AEAUH,Abu Dhabi,AE,1-345---,24.4667,54.3667,AI
AEAMU,Abu Musa,AE,1-------,25.8667,55.0167,RL
AEARP,Ahmed Bin Rashid Port,AE,1-------,25.5333,55.55,RL
AEAJM,Ajman,AE,1-3-----,,,RL
AEFJR,Al Fujayrah,AE,1--4----,25.1167,56.3333,AI
AEJAZ,Al Jazeera Port,AE,1-------,25.7167,55.8,RL
AEAJP,Al Jeer Port,AE,1-3-----,26.0333,56.05,RL
AERUW,Ar Ruways,AE,1-------,24.1167,52.7333,RL
AEDAS,Das Island,AE,1-------,,,RL
AEDBP,Dibba,AE,1-3-----,25.6167,56.2667,RL
AEDXB,Dubai,AE,1-345---,25.25,55.2667,AI
AEEND,Esnnad,AE,1-------,24.3167,54.45,RQ
AEFAT,Fateh Terminal,AE,1-------,,,QQ
AEFRP,Free Port,AE,1-------,25.25,55.25,RL
AEHZP,Hamriya Free Zone Port,AE,1-------,25.3,55.3167,RL
AEHSN,Hassyan,AE,1-3-----,24.9,54.9,AA
AEHTL,Hulaylah Terminal,AE,1-------,25.9833,55.9333,RQ
AEJEA,Jebel Ali,AE,1-------,,,QQ
AEQWE,Jebel Ali Free Zone,AE,1-3-----,25.0,55.05,RL
AEJED,Jebel Dhanna,AE,1-------,,,QQ
AEKLB,Kalba,AE,1-3-----,25.0667,56.35,RL
AEKLF,Khor al Fakkan,AE,1-------,25.3333,56.35,RL
AEMKH,Mina Khalid,AE,1-3-----,25.35,55.3667,RL
AEKHL,Mina Khalifa/Abu Dhabi,AE,1-------,24.8333,54.6667,RL
AEMRP,Mina Rashid Port,AE,1-------,25.2667,55.2833,RL
AEMSA,Mina Saqr,AE,1-------,25.9667,56.0667,RQ
AEMZD,Mina Zayed/Abu Dhabi,AE,1-------,24.5167,54.3667,RL
AERFA,Mirfa,AE,1----6--,25.4667,53.4833,RQ
AEMUB,Mubarek Terminal,AE,1-------,,,QQ
AEMBS,Mubarras Island,AE,1-------,24.5833,53.3167,RQ
AEAMF,Musaffah,AE,1-3-----,24.3833,54.4833,RL
AEPRA,Port Rashid,AE,1-------,,,RQ
AERKP,Rak Khor Port,AE,1-------,25.8167,55.95,RL
AERMC,Rak Maritime City,AE,1-------,25.95,56.05,RL
AERKT,Ras al Khaimah,AE,1--4----,25.7833,55.95,AI
AERWP,Ruwais Port,AE,1-------,24.1,52.7167,RL
AESID,Sadiyat Island,AE,1-------,24.5333,54.4,RQ
AESHJ,Sharjah,AE,1-34----,25.35,55.3833,AI
AEDUJ,The Palm Jumeirah,AE,1-------,,,RQ
AEULR,Umm Al Nar,AE,1-------,24.4333,54.5,RQ
AEQIW,Umm al Quwain,AE,1--4----,25.5833,55.5833,AI
AEYAS,Yas Island,AE,1-------,24.3167,52.6,RL
AEZUR,Zirku Island,AE,1-------,24.8833,53.0667,RL
AFDHD,Dehdadi,AF,1----6--,36.65,66.9833,RL
AFQLT,Qalat,AF,1-3-----,32.1,66.8833,RL
AFRKH,Torkham,AF,1-------,34.8833,71.9167,RL
AGANU,Antigua,AG,1---5---,,,AI
AGBBQ,Barbuda,AG,1-------,,,AI
AGFAM,Falmouth,AG,1----6--,17.0167,-61.7833,RL
AGPHM,Parham,AG,1----6--,17.0833,-61.75,RL
AGSJO,Saint John's,AG,1-------,17.1167,-61.85,AI
AIBLP,Blowing Point,AI,1-------,,,QQ
AIMBB,Meads Bay Beach,AI,1-------,18.1667,-63.1333,RL
AISOM,Sombrero,AI,1-------,18.6,-63.4667,RQ
AIFOR,The Forest,AI,1-------,,,QQ
AIROA,The Road,AI,1-------,,,QQ
AIWLL,Wall Blake,AI,1--4----,,,RL
ALBUT,Butrint,AL,1-------,39.75,20.0167,RQ
ALDRZ,DurrÃ«s,AL,1-------,,,RL
ALHMR,Himare,AL,1-------,40.1333,19.7167,RQ
ALROM,Romano Port,AL,1-3-----,41.3667,19.4167,RL
ALSAR,SarandÃ«,AL,1-------,39.8833,20.0,RL
ALSHG,ShÃ«ngjin,AL,1-------,41.8,19.5667,RL
ALVOA,VlorÃ«,AL,1-------,40.4667,19.4833,RL
AMJER,Jermuk,AM,1----6--,,,RL
AOAZZ,Ambriz,AO,1--4----,,,AI
AOBAB,Baba,AO,1-------,-14.8333,12.2333,RQ
AOBDT,BaÃ­a dos Tigres,AO,1-------,-16.6,11.7333,RL
AOBDD,Barra do Dande,AO,1-------,,,RL
AOBUG,Benguela,AO,1--4----,,,AI
AOCAB,Cabinda,AO,1--4----,,,AI
AOCPO,Capulo,AO,1-------,-7.9833,13.1667,RQ
AOCUI,Cuio,AO,1-------,-12.9833,12.9833,RQ
AODAL,Dalia,AO,1-------,-7.6833,11.7833,RQ
AODGR,Dombe Grande,AO,1-------,,,RL
AOETN,Essungo Terminal,AO,1-------,-6.3333,12.1667,RQ
AOFBY,Farta Bay,AO,1-------,-12.6167,13.2,RQ
AOFLT,Futila Terminal,AO,1-------,-5.45,12.1833,RQ
AOGIM,Gimboa,AO,1-------,-7.5333,12.1667,RL
AOGIR,Girassol Terminal,AO,1-------,-7.6333,11.6833,RL
AOGPO,Greater Plutonio,AO,1-------,-7.8333,12.1167,RL
AOKTI,Kiame Terminal,AO,1-------,,,RQ
AOKOT,Kuito Terminal,AO,1-------,-5.4333,11.4833,XX
AOLAA,Landana (Cacongo),AO,1-------,,,RL
AOLIE,Lieura,AO,1-------,,,QQ
AOLOB,Lobito,AO,1---5---,,,RL
AOLBT,Lombo Terminal,AO,1-------,-6.9833,12.35,RQ
AOLAD,Luanda,AO,1--45---,,,AI
AOLUC,Lucira,AO,1-3-----,,,RL
AOMSZ,Namibe,AO,1--4----,,,AI
AONQI,NÃ³qui,AO,123-----,-5.85,13.4333,RL
AONTO,N'Zeto (Ambrizete),AO,1-------,-7.2667,12.85,RQ
AOPAT,Palanca Terminal,AO,1-------,,,RQ
AOPLE,Porto Alexandre (Tombua),AO,1-3-----,,,RL
AOPBN,Porto Amboim,AO,1-------,,,AI
AOPSA,Porto Saco (Portosalazar),AO,1-------,-15.1333,12.1333,RQ
AORSN,River Sao Nicolau,AO,1-------,-14.25,12.3333,RQ
AOSTL,Sazaire Terminal,AO,1-------,-6.0833,12.3833,RQ
AOSZA,Soyo,AO,1--4----,,,AI
AOSOQ,Soyo-Quinfuquena Terminal,AO,1-------,,,RQ
AONDD,Sumbe,AO,1-34----,,,AI
AOTAK,Takula Terminal,AO,1-------,,,RQ
